,sample,mean,SD,median,number of IESs
0,total,0.03255165274846651,1.691563381606448,-0.012999746760901987,43410
1,low,0.07403014248010786,1.7515003198952204,0.0,35002
2,high,-0.14012081366291676,1.401989597297363,-0.09099266454237062,8408
3,short,0.034183467373972674,1.7193301006287085,-0.012999746760901987,41467
4,long,-0.00227411002861213,0.9161528646114593,-0.024238495261500126,1943
5,low_short,0.07440862112032039,1.7704683821707028,0.0,33869
6,low_long,0.06271620332268647,1.0351872878732231,0.038672272737885094,1133
7,high_short,-0.14512499962195405,1.4565429223091708,-0.09007605031900628,7598
8,high_long,-0.09318031376567548,0.7079329425254873,-0.09264222723990234,810
